amino_acid_code,smiles,current_classification,is_beta_current,is_gamma_current,is_d_amino_current,is_cyclic_current,is_aromatic_current,is_n_methyl_current,manual_classification,is_beta_manual,is_gamma_manual,is_d_amino_manual,is_cyclic_manual,is_aromatic_manual,is_n_methyl_manual,analysis_notes,has_pdb,has_mol2
HIS,[NH3][C@@H](Cc1c[nH]cn1)C(=O)O,Cyclic,No,No,No,Yes,No,No,Aromatic,No,No,No,No,Yes,No,L-组氨酸，C@@H表示L型，含咪唑环为杂环芳香族，标准蛋白质氨基酸,Yes,Yes
HL2,CC([C@H]([C@@H](C(=O)O)[NH3])O)C,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-异亮氨酸衍生物，含羟基和多个甲基，无环或芳香结构,Yes,Yes
HLEU,[NH3][C@H]([C](=O)=O)CCC(C)C,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-亮氨酸，C@H表示D型，含异丁基但无环或芳香结构,Yes,Yes
HLU,CC([C@@H]([C@@H]([C](=O)=O)[NH3])O)C,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-异亮氨酸衍生物，含羟基，无环或芳香结构,Yes,Yes
HOX,[NH3][C@H](C(=O)O)Cc1ccc(cc1)N,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-羟基苯丙氨酸，C@H表示D型，含氨基苯环为芳香族,Yes,Yes
HPE,[NH3][C@H](C(=O)O)CCc1ccccc1,D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-苯基乙基甘氨酸，C@H表示D型，含苯环为芳香族,Yes,Yes
HQA,OC(=O)[C@H](Cc1cnc2c(c1)cccc2O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-喹啉丙氨酸，C@H表示D型，含喹啉环系统为杂环芳香族,Yes,Yes
HRG,[NH2]=[C](=[NH]CCCC[C@@H](C(=O)O)[NH3])=[NH2],Cyclic; N-methyl,No,No,No,Yes,No,Yes,Alpha,No,No,No,No,No,No,L-精氨酸衍生物，C@@H表示L型，含胍基但为线性结构，非环状,Yes,Yes
HRP,OC(=O)[C@H](Cc1c[nH]c2c1cc(O)cc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-羟基色氨酸，C@H表示D型，含羟基吲哚环系统为芳香族,Yes,Yes
HSER,OCC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-高丝氨酸，C@@H表示L型，含羟基但无环或芳香结构,Yes,Yes
HTR,OC(=O)[C@H]([C@H](c1c[nH]c2c1cccc2)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-羟基色氨酸衍生物，C@H表示D型，含羟基吲哚环系统为芳香族,Yes,Yes
HVA,[NH3][C@@H](C(O)(C)C)[C](=O)=O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-羟基缬氨酸，C@@H表示L型，含羟基但无环或芳香结构,Yes,Yes
I2M,CCC([C@@H](C(=O)O)[NH3])(C)C,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-异亮氨酸衍生物，C@@H表示L型，含多个甲基但无环或芳香结构,Yes,Yes
IGL,[NH3][C@H]([C](=O)=O)[C@@H]1Cc2c(C1)cccc2,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-茚满甘氨酸，C@H表示D型，含茚满环系统为芳香族,Yes,Yes
IIL,CC[C@H]([C@@H](C(=O)O)[NH3])C,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-异亮氨酸，C@H表示D型，无环或芳香结构,Yes,Yes
ILE,[NH3][C@@H]([C@H](CC)C)C(=O)O,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-异亮氨酸，C@@H和C@H组合表示D型，无环或芳香结构,Yes,Yes
ILX,OC[C@@H]([C@@H]([C@@H]([C](=O)=O)[NH3])C)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-异亮氨酸衍生物，含多个羟基，无环或芳香结构,Yes,Yes
IYR,OC(=O)[C@H](Cc1ccc(c(c1)I)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-碘酪氨酸，C@H表示D型，含碘代苯环为芳香族,Yes,Yes
KYN,OC(=O)[C@H](CC(=O)c1ccccc1N)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-犬尿氨酸，C@H表示D型，含氨基苯环为芳香族,No,Yes
LDO,OCCCC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-羟基正亮氨酸，C@@H表示L型，含羟基但无环或芳香结构,Yes,Yes
LE1,[NH3][C@@H](C(S)(C)C)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-硫代缬氨酸，C@@H表示L型，含硫原子但无环或芳香结构,Yes,Yes
LED,O=C[C@@H](C[C@@H](C(=O)O)[NH3])C,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-亮氨酸醛，C@@H表示L型，含醛基但无环或芳香结构,Yes,Yes
LEF,FC[C@H](C[C@@H](C(=O)O)[NH3])C,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-氟亮氨酸，C@H表示D型，含氟原子但无环或芳香结构,Yes,Yes
LEU,[NH3][C@@H](CC(C)C)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-亮氨酸，C@@H表示L型，标准蛋白质氨基酸,Yes,Yes
LME,O=[C](=O)C[C@H]([C@@H](C(=O)O)[NH3])C,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-亮氨酸衍生物，C@H表示D型，含羧基但无环或芳香结构,Yes,Yes
LMQ,NC(=O)C[C@@H]([C@@H](C(=O)O)[NH3])C,N-methyl,No,No,No,No,No,Yes,Alpha,No,No,No,No,No,No,L-亮氨酸酰胺，C@@H表示L型，含酰胺基但无环或芳香结构,Yes,Yes
LVG,C=C[C@@H]([C](=O)=O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-乙烯基甘氨酸，C@@H表示L型，含乙烯基但无环或芳香结构,Yes,Yes
LVN,O=C[C@H]([C@@H]([C](=O)=O)[NH3])C,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-亮氨酸醛，C@H表示D型，含醛基但无环或芳香结构,Yes,Yes
LYS,[NH3][C@@H](CCCC[NH3])C(=O)O,Cyclic,No,No,No,Yes,No,No,Alpha,No,No,No,No,No,No,L-赖氨酸，C@@H表示L型，标准蛋白质氨基酸，含双氨基但为线性结构,Yes,Yes
M2S,C[S@@](=O)CC([C@@H](C(=O)O)[NH3])(C)C,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-蛋氨酸亚砜，C@@H表示L型，含亚砜基但无环或芳香结构,Yes,Yes
ME0,OCSCC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-蛋氨酸衍生物，C@@H表示L型，含硫醚键但无环或芳香结构,Yes,Yes
MEG,O=[C](=O)C[C@@H]([C@@H](C(=O)O)[NH3])C,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-亮氨酸衍生物，C@@H表示L型，含羧基但无环或芳香结构,Yes,Yes
MEN,CNC(=O)C[C@@H](C(=O)O)[NH3],N-methyl,No,No,No,No,No,Yes,Alpha; N-methyl,No,No,No,No,No,Yes,L-N-甲基天冬酰胺，C@@H表示L型，含N-甲基酰胺基团,Yes,Yes
MEQ,CNC(=O)CC[C@@H](C(=O)O)[NH3],N-methyl,No,No,No,No,No,Yes,Alpha; N-methyl,No,No,No,No,No,Yes,L-N-甲基谷氨酰胺，C@@H表示L型，含N-甲基酰胺基团,Yes,Yes
MET,[NH3][C@@H](CCSC)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-蛋氨酸，C@@H表示L型，标准蛋白质氨基酸,Yes,Yes
MHO,C[S@@](=O)CC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-蛋氨酸亚砜，C@@H表示L型，含亚砜基但无环或芳香结构,Yes,Yes
MOT5,COc1ccc2c(c1)c(c[nH]2)C[C@@H](C(=O)O)[NH3],Cyclic,No,No,No,Yes,No,No,Aromatic,No,No,No,No,Yes,No,L-5-甲氧基色氨酸，C@@H表示L型，含甲氧基吲哚环系统为芳香族,Yes,Yes
MP34,O=[C](=O)[C@H](Cc1ccc(c(c1)C)C)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,"D-3,4-二甲基苯丙氨酸，C@H表示D型，含二甲基苯环为芳香族",Yes,Yes
MPH2,OC(=O)[C@H](Cc1ccccc1C)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-2-甲基苯丙氨酸，C@H表示D型，含甲基苯环为芳香族,Yes,Yes
MTR5,Cc1cc2c(C[C@@H](C(=O)O)[NH3])c[nH]c2cc1,Cyclic,No,No,No,Yes,No,No,Aromatic,No,No,No,No,Yes,No,L-5-甲基色氨酸，C@@H表示L型，含甲基吲哚环系统为芳香族,Yes,Yes
MTR6,OC(=O)[C@H](Cc1c[nH]c2c1ccc(c2)C)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-6-甲基色氨酸，C@H表示D型，含甲基吲哚环系统为芳香族,Yes,Yes
MTY,OC(=O)[C@H](Cc1cccc(c1)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-3-甲基酪氨酸，C@H表示D型，含甲基苯环为芳香族,Yes,Yes
NAL,OC(=O)[C@H](Cc1ccc2c(c1)cccc2)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-2-萘丙氨酸，C@H表示D型，含萘环为芳香族,Yes,Yes
NAO1,OC(=O)[C@H](Cc1cccc2c1cc(O)cc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-1-萘酚丙氨酸，C@H表示D型，含羟基萘环为芳香族,Yes,Yes
NAO2,OC(=O)[C@H](Cc1ccc2c(c1)cc(cc2)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-2-萘酚丙氨酸，C@H表示D型，含羟基萘环为芳香族,Yes,Yes
NIY,O=[C](=O)[C@H](Cc1ccc(c(c1)N(=O)=O)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-硝基酪氨酸，C@H表示D型，含硝基苯环为芳香族,Yes,Yes
NLE,CCCC[C@@H]([C](=O)=O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-正亮氨酸，C@@H表示L型，为标准α氨基酸,Yes,Yes
NVA,CCC[C@@H]([C](=O)=O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-正缬氨酸，C@@H表示L型，为标准α氨基酸,Yes,Yes
OAS,CC(=O)OC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-O-乙酰丝氨酸，C@@H表示L型，含乙酰基但无环或芳香结构,Yes,Yes
OBF,[NH3][C@H](C(=O)O)CC(F)F,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-二氟丙氨酸，C@H表示D型，含二氟基但无环或芳香结构,Yes,Yes
OCY,OCCSC[C@@H]([C](=O)=O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-半胱氨酸衍生物，C@@H表示L型，含羟基和硫醚键但无环或芳香结构,Yes,Yes
OLT,CO[C@@H]([C@@H](C(=O)O)[NH3])C,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-苏氨酸衍生物，C@@H表示L型，含甲氧基但无环或芳香结构,Yes,Yes
OMT,OC(=O)[C@H](CCS(=O)(=O)C)[NH3],D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-蛋氨酸砜，C@H表示D型，含砜基但无环或芳香结构,Yes,Yes
OMX,OC(=O)[C@H]([C@@H](c1ccc(cc1)O)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-苯基丝氨酸衍生物，C@H表示D型，含羟基苯环为芳香族,Yes,Yes
OMY,OC(=O)[C@H]([C@@H](c1ccc(c(c1)Cl)O)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-氯苯基丝氨酸，C@H表示D型，含氯代苯环为芳香族,Yes,Yes
ONL,CC(=O)CC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-己二酸单酰胺，C@@H表示L型，含酮基但无环或芳香结构,Yes,Yes
ORN,[NH3]CCC[C@@H]([C](=O)=O)[NH3],Cyclic,No,No,No,Yes,No,No,Alpha,No,No,No,No,No,No,L-鸟氨酸，C@@H表示L型，含双氨基但为线性结构，非环状,Yes,Yes
OTYR,OC(=O)[C@H](Cc1ccccc1O)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-邻酪氨酸，C@H表示D型，含羟基苯环为芳香族,Yes,Yes
PBF,[NH3][C@H](C(=O)O)Cc1ccc(cc1)C(=O)c1ccccc1,D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-苯甲酰苯丙氨酸，C@H表示D型，含双苯环结构为芳香族,Yes,Yes
PF5,[NH3][C@H](C(=O)O)Cc1c(F)c(F)c(c(c1F)F)F,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-五氟苯丙氨酸，C@H表示D型，含五氟苯环为芳香族,Yes,Yes
PFF,[NH3][C@H](C(=O)O)Cc1ccc(cc1)F,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-4-氟苯丙氨酸，C@H表示D型，含氟代苯环为芳香族,Yes,Yes
PHE,[NH3][C@@H](Cc1ccccc1)C(=O)O,Cyclic; Aromatic,No,No,No,Yes,Yes,No,Aromatic,No,No,No,No,Yes,No,L-苯丙氨酸，C@@H表示L型，标准蛋白质氨基酸，含苯环为芳香族,Yes,Yes
PHI,[NH3][C@H](C(=O)O)Cc1ccc(cc1)I,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-4-碘苯丙氨酸，C@H表示D型，含碘代苯环为芳香族,Yes,Yes
PPN,O=[C](=O)[C@H](Cc1ccc(cc1)N(=O)=O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-4-硝基苯丙氨酸，C@H表示D型，含硝基苯环为芳香族,Yes,Yes
PRO,[NH2]1[C@H](C(=O)O)CCC1,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-脯氨酸，C@H表示D型，含五元环吡咯烷结构为环状,Yes,Yes
PTR,OC(=O)[C@H](Cc1ccc(cc1)OP(=O)(O)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-磷酸酪氨酸，C@H表示D型，含磷酸基苯环为芳香族,Yes,Yes
PTR2,OC(=O)[C@H](Cc1ccc(cc1)OP(=O)(O)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-磷酸酪氨酸，C@H表示D型，含磷酸基苯环为芳香族,Yes,Yes
PYR2,O=[C](=O)[C@H](Cc1ccccn1)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-2-吡啶丙氨酸，C@H表示D型，含吡啶环为杂环芳香族,Yes,Yes
PYR3,OC(=O)[C@H](Cc1cccnc1)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-3-吡啶丙氨酸，C@H表示D型，含吡啶环为杂环芳香族,Yes,Yes
PYR4,[NH3][C@H](C(=O)O)Cc1ccncc1,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-4-吡啶丙氨酸，C@H表示D型，含吡啶环为杂环芳香族,Yes,Yes
PYZ1,OC(=O)[C@H](Cn1cccn1)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cn1cccn1)[NH3],Yes,Yes
QU32,OC(=O)[C@H](Cc1ccc2c(n1)cccc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cc1ccc2c(n1)cccc2)[NH3],Yes,Yes
QU33,OC(=O)[C@H](Cc1cnc2c(c1)cccc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cc1cnc2c(c1)cccc2)[NH3],Yes,Yes
QU34,OC(=O)[C@H](Cc1ccnc2c1cccc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cc1ccnc2c1cccc2)[NH3],Yes,Yes
QU35,OC(=O)[C@H](Cc1ccc2c(c1)nccc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cc1ccc2c(c1)nccc2)[NH3],Yes,Yes
QU36,OC(=O)[C@H](Cc1ccc2c(c1)cncc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cc1ccc2c(c1)cncc2)[NH3],Yes,Yes
QX32,OC(=O)[C@H](Cc1cnc2c(n1)cccc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cc1cnc2c(n1)cccc2)[NH3],Yes,Yes
SEP,OC(=O)[C@H](COP(=O)(O)O)[NH3],D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-磷酸丝氨酸，C@H表示D型，含磷酸基但无环或芳香结构,Yes,Yes
SEP2,OC(=O)[C@H](COP(=O)(O)O)[NH3],D-amino,No,No,Yes,No,No,No,Alpha; D-amino,No,No,Yes,No,No,No,基于SMILES自动分析: OC(=O)[C@H](COP(=O)(O)O)[NH3],Yes,Yes
SER,[NH3][C@@H](CO)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-丝氨酸，C@@H表示L型，标准蛋白质氨基酸,Yes,Yes
SLZ,[NH3][C@H](C(=O)O)CSCC[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino,No,No,Yes,No,No,No,基于SMILES自动分析: [NH3][C@H](C(=O)O)CSCC[NH3],Yes,Yes
SME,C[S@@](=O)CC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,基于SMILES自动分析: C[S@@](=O)CC[C@@H](C(=O)O)[NH3],Yes,Yes
STYA,OC(=O)[C@H](CC=Cc1ccccc1)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](CC=Cc1ccccc1)[NH3],Yes,Yes
SYM,OC(=O)[C@H](C[C@H]([C](=O)=O)C)[NH3],D-amino,No,No,Yes,No,No,No,Alpha; D-amino,No,No,Yes,No,No,No,基于SMILES自动分析: OC(=O)[C@H](C[C@H]([C](=O)=O)C)[NH3],Yes,Yes
TBP4,[NH3][C@H](C(=O)O)Cc1ccc(cc1)C(C)(C)C,D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: [NH3][C@H](C(=O)O)Cc1ccc(cc1)C(C)(C)C,Yes,Yes
TEZA,OC(=O)[C@H](Cn1nncn1)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cn1nncn1)[NH3],Yes,Yes
TFG2,OC(=O)[C@H](c1ccccc1C(F)(F)F)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](c1ccccc1C(F)(F)F)[NH3],Yes,Yes
TFG3,OC(=O)[C@H](c1cccc(c1)C(F)(F)F)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](c1cccc(c1)C(F)(F)F)[NH3],Yes,Yes
TFG4,[NH3][C@@H](c1ccc(cc1)C(F)(F)F)C(=O)O,Cyclic,No,No,No,Yes,No,No,Alpha; Aromatic,No,No,No,No,Yes,No,基于SMILES自动分析: [NH3][C@@H](c1ccc(cc1)C(F)(F)F)C(=O)O,Yes,Yes
TFLE,OC(=O)[C@H](C[C@@H](C(F)(F)F)C)[NH3],D-amino,No,No,Yes,No,No,No,Alpha; D-amino,No,No,Yes,No,No,No,基于SMILES自动分析: OC(=O)[C@H](C[C@@H](C(F)(F)F)C)[NH3],Yes,Yes
TFP2,OC(=O)[C@H](Cc1ccccc1C(F)(F)F)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cc1ccccc1C(F)(F)F)[NH3],Yes,Yes
TFP3,OC(=O)[C@H](Cc1cccc(c1)C(F)(F)F)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cc1cccc(c1)C(F)(F)F)[NH3],Yes,Yes
TFP4,[NH3][C@H](C(=O)O)Cc1ccc(cc1)C(F)(F)F,D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: [NH3][C@H](C(=O)O)Cc1ccc(cc1)C(F)(F)F,Yes,Yes
TH6,OC[C@H]([C@@H]([C](=O)=O)[NH3])O,D-amino,No,No,Yes,No,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-6-羟基色氨酸，C@H表示D型，含羟基吲哚环系统为芳香族,Yes,Yes
THA3,OC(=O)[C@H](Cc1cscc1)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cc1cscc1)[NH3],Yes,Yes
THG2,OC(=O)[C@H](c1cccs1)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](c1cccs1)[NH3],Yes,Yes
THG3,OC(=O)[C@H](c1cscc1)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](c1cscc1)[NH3],Yes,Yes
THIC,OC(=O)[C@H](CCC[NH]=[C](=S)=[NH2])[NH3],D-amino,No,No,Yes,No,No,No,Alpha; D-amino; Cyclic,No,No,Yes,Yes,No,No,基于SMILES自动分析: OC(=O)[C@H](CCC[NH]=[C](=S)=[NH2])[NH3],Yes,Yes
THR,[NH3][C@@H]([C@@H](C)O)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-苏氨酸，C@@H表示L型，标准蛋白质氨基酸,Yes,Yes
TIH,OC(=O)[C@H](Cc1cccs1)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-β-噻唑基丙氨酸，C@H表示D型，含噻唑环为杂环芳香族,Yes,Yes
TPO,C[C@H]([C@@H]([C](=O)=O)[NH3])OP(O)(O)O,D-amino,No,No,Yes,No,No,No,Alpha; D-amino,No,No,Yes,No,No,No,基于SMILES自动分析: C[C@H]([C@@H]([C](=O)=O)[NH3])OP(O)(O)O,Yes,Yes
TPO2,C[C@H]([C@@H]([C](=O)=O)[NH3])OP(O)(O)O,D-amino,No,No,Yes,No,No,No,Alpha; D-amino,No,No,Yes,No,No,No,基于SMILES自动分析: C[C@H]([C@@H]([C](=O)=O)[NH3])OP(O)(O)O,Yes,Yes
TRO,OC(=O)[C@H](Cc1c(O)[nH]c2c1cccc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: OC(=O)[C@H](Cc1c(O)[nH]c2c1cccc2)[NH3],Yes,Yes
TRP,[NH3][C@@H](Cc1c[nH]c2c1cccc2)C(=O)O,Cyclic,No,No,No,Yes,No,No,Aromatic,No,No,No,No,Yes,No,L-色氨酸，C@@H表示L型，标准蛋白质氨基酸，含吲哚环系统为芳香族,Yes,Yes
TRX,O=[C](=O)[C@H](Cc1c[nH]c2c1ccc(c2)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-6-氟色氨酸，C@H表示D型，含氟代吲哚环系统为芳香族,Yes,Yes
TRZ4,[NH3][C@H](C(=O)O)Cn1cncn1,D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: [NH3][C@H](C(=O)O)Cn1cncn1,Yes,Yes
TTQ,[NH3][C@H]([C](=O)=O)Cc1c[nH]c2c1ccc(c2O)N,D-amino; Cyclic,No,No,Yes,Yes,No,No,Alpha; D-amino; Aromatic,No,No,Yes,No,Yes,No,基于SMILES自动分析: [NH3][C@H]([C](=O)=O)Cc1c[nH]c2c1ccc(c2O)N,Yes,Yes
